Task,Model,AUC,DI_Kikuyu,∆xAUC_Kikuyu,DI_Kamba,∆xAUC_Kamba,DI_Luo,∆xAUC_Luo
Literacy,Llama-3.1-405b-instruct,0.54,1.02,-0.142384964,1.02,0.133448138,0.97,0.003852259
Literacy,Qwen2.5-72B-Instruct,0.55,1,0.142861652,0.99,-0.109024658,0.99,0.054123169
Literacy,SwahBERT,0.55,1.02,-0.23655261,1.02,0.152740341,1.02,0.050923382
Trust,Llama-3.1-405b-instruct,0.69,1.04,-0.012458143,0.96,0.072023657,1,-0.05666958
Trust,Qwen2.5-72B-Instruct,0.68,1.04,-0.046062727,0.95,0.039331338,0.99,0.031442284
Trust,SwahBERT,0.7,1,0.028333749,1.01,0.310437806,1,0.048164965
Anxiety,Llama-3.1-405b-instruct,0.6,0.98,0.013818082,0.98,-0.083156638,0.99,0.039736041
Anxiety,Qwen2.5-72B-Instruct,0.52,0.99,3.31E-05,0.95,-0.054829769,1,0.01478629
Anxiety,SwahBERT,0.55,1.01,0.071233221,1.01,-0.020046214,1,0.04643845
Numeracy,Llama-3.1-405b-instruct,0.51,1.04,-0.013135581,1.85,-0.095149541,1.02,-0.046374749
Numeracy,Qwen2.5-72B-Instruct,0.5,0.98,-0.020278194,1.36,-0.068031721,0.92,-9.62E-05
Numeracy,SwahBERT,0.6,0.99,-0.067344596,1.01,0.025154528,1.03,0.027598065
