Duration,D1-Age,D2-Gender,D3-Tribe,D4-Race,D5-Education,D6-Income,EFL,Q1,Q2,Q3,Q4,FQ1,FQ2,FQ3,ComQ1,ComQ2,ComQ3,Label_SubjectiveLit,Text_SubjectiveLit,ATQ_1,ATQ_2,ATQ_3,ATQ_4,ATQ_5,ATQ_6,ATQ_7,ATQ_8,TWB_1,TWB_2,TWB_3,TWB_4,TWB_5,TWB_6,TWB_7,TWB_8,TWB_9,TWB_10,RA1_1,RA1_2,RA1_3,RA1_4,RA1_5,RA1_6,RA1_7,RA1_8,RA1_9,RA1_10,STAI_1,STAI_2,STAI_3,STAI_4,STAI_5,STAI_6,STAI_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,REI_1,REI_2,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,FIPI_1,FIPI_2,FIPI_3,FIPI_4,FIPI_5,BMC1_1,BMC1_2,BMC1_3,BMC1_4,BMC1_5,Label_TrustPhys,Text_TrustPhys,Emo1_5,Emo1_6,Emo1_7,Emo1_8,Emo1_9,Emo1_10,Emo1_11,Emo1_12,Label_Anxiety,Text_Anxiety,HC_1,HC_2,HC_3,HC_4,HC_5,Rx2,Validity,MN1,MN2,MN3,MN4,MN5,MN6,MN7,MN8,GHNT1,GHNT2,GHNT3,GHNT4,GHNT5,GHNT6,Label_Numeracy,Text_Numeracy,Dmed_7,Dmed_8,Dmed_1,Dmed_2,Dmed_3,Dmed_9,Dmed_10,Dmed_5,Dmed_6,,,,
46,31,Male,Kikuyu,Black,Some graduate school,"Less than 2,580,000 KES",No,4,4,3,4,3,3,3,1,1,1,0.801587302,"Naam nina uwezo wa kupata, kuchakata na kuelewa taarifa za msingi za afya yangu kwa kiwango cha asilimia themanini",2,2,4,1,4,5,1,1,5,3,4,5,4,4,4,5,3,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,4,5,4,5,4,3,4,3,4,5,5,4,5,4,6,6,6,6,6,2,4,4,4,4,0.8,"Namwamini dakitari wangu kwa sababu nimemchunguza nikaona sio muongo, ana uzoefu wa miaka mingi na ako na historia nzuri kutoka kwa wenye ametibu",5,6,4,6,6,4,5,4,0.714285714,"Kawaida ya binadamu anapotembelea daktari lazima roho itetemeke, haswa wakati nangojea vipimo kuna hio wasiwasi haujui yatakayojiri",5,5,5,5,5,3,5,2,2,4,1,4,1,2,3,2,4%,80,42.5,30%,200,0.363636364,Hakuna tukio lolote ambalo lilijaribu ujuzi wangu kwa masuala ya afya isipokua wakati nilipatia mtu karoti mbichi baada ya kuumwa na tumbo na ikapona,"5'7""",64,0,No,0,1-2 hours,5,0 days,0,,,,
26,35,Male,Kisii,Black,Some college,"Less than 2,580,000 KES",No,4,3,3,3,2,3,3,1,2,3,0.555555556,"Ninahisi kuwa na kiwango cha kati au wastani wa kupata, kuchakata, na kuelewa taarifa za msingi za afya na huduma.",2,1,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,5,3,1,5,2,1,3,3,5,4,1,3,1,2,1,1,2,2,4,4,3,5,3,3,4,3,3,2,2,2,2,2,2,6,6,4,5,2,4,4,4,5,0.84,Kwa vile amehitumu na anaujuzi wa muda mrefu. Pia kuna kanuni na itikadi ambazo daktari anapaswa kufuata.,3,2,1,5,4,5,2,2,0.5,Matarajio ya kupata maumivu kama vile kwa kudungwa sindano bila shaka yanafanya nihisi wasiwasi au hofu.,5,5,5,5,5,3,5,2,1,4,4,4,3,4,3,2,20%,80,5,7%,30,0.909090908,Nilipata homa ya korona niliweza kufuata masharti yote kama vile kunawa mikono na kujitenga hadi nilipopona.,"5'8""",65,0,Yes,1,11-12 hours,5,0 days,2,,,,
32,26,Female,Taita,Black,High school graduate,Do not know/not sure,Yes,5,5,5,5,3,2,2,2,2,1,0.682539683,"Kwa kiwango Cha juu ninayo nafasi ya kuelewa taarifa za afya kupitia wizara ya afya, vyombo vya habari na maelezo kabambe ya wauguzi wa nyanjani.",1,1,3,2,2,1,2,2,4,4,4,4,4,5,4,5,2,4,1,1,1,1,1,1,5,3,5,1,2,2,2,2,2,3,2,5,5,5,5,5,5,1,1,5,5,5,5,5,1,6,3,7,2,4,2,5,5,5,5,0.96,Ninamwamini daktari wangu maadam ana elimu ya kutosha kuhusu kazi yake na uzoefu ambao unamwezesha kutibu,3,6,3,6,2,3,2,6,0.523809524,Majibu ya vipimo nilivyochukuliwa kujulia hali yangu na gharama ya pesa nitayazoitishwa kinitibu na jinsi ya kukabiliana na ugonjwa nitakao elezwa,5,5,5,5,5,5,5,2,1,2,4,4,2,4,4,2,5%,80,4,5%,150,0.454545454,"Mama yangu alikuwa anahokoa sana, nkahisi anatibi hivyo basi nkamshauri kwenda zahanatini kujijulia hali","6'4""",56,4,No,6,9-10 hour,3,0 days,0,,,,
42,21,Male,Kisii,Black,Some college,"7,095,000 KES - 9,674,871 KES",Yes,4,4,5,5,3,2,3,1,1,1,0.793650793,Ni ewezo wa kiwango Cha juu sana kwa vile husipofuatilia maagizo uliyopewa huenda au Kuna uwezekano wa kutopona,2,4,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,5,1,1,1,3,1,1,4,2,2,2,2,2,2,5,4,4,3,1,1,5,1,5,3,5,1,4,2,7,7,7,1,7,1,5,5,5,5,1,Mimi huamini ninacho ambiwa na madaktari wote kwa vile mambo wanayoniambia ni kwa ajiri ya afya yangu na hivo ni muhimu kuzingatia.,1,1,1,1,2,7,1,1,0.30952381,Kinacho nifanya ni kile kwamba ninapotembelea ofisi hii ya dagitari huwa Mimi naugua kwa hivyo nini shida ya kimwili au kiafya,5,5,5,5,5,5,5,2,3,4,1,1,1,3,2,2,20%,100,1,3%,150,0.272727272,Wakati nilipokwatwa mguu na panga nilitumia sawa ya matibabu ya kwanza kabla ya kuenda hospitali hili kupata matibabu,"6'6""",56,1,No,5,1-2 hours,7 - Very healthy,0 days,0,,,,
39,26,Female,Kikuyu,Black,Some college,"Less than 2,580,000 KES",Yes,1,4,3,2,3,1,2,1,1,1,0.444444444,"Ninatoa majibu yaliyoandikwa kwa uwazi, yaliyothibitishwa na utafiti, huku nikizingatia uhitaji wa mtumiaji na muktadha wa afya kwa maamuzi sahihi.",1,3,2,1,3,4,1,1,4,5,5,5,5,5,5,5,5,5,1,4,4,2,1,4,1,1,1,1,2,2,2,1,1,1,1,5,5,4,2,5,5,5,4,3,5,5,5,5,5,7,7,7,6,7,2,5,5,5,5,0.96,"Ninamwamini daktari kwa ujumla kwa sababu ya utaalamu na mafunzo yao ya kina, pamoja na maadili ya kutoa huduma bora kwa wagonjwa.",3,5,2,5,6,5,6,7,0.761904762,"kupokea habari mbaya za afya, kutokuwa na uhakika wa utambuzi, au gharama zinazoweza kujitokeza kwa matibabu.",5,5,5,5,5,5,5,2,1,3,3,2,3,1,1,1,20%,80,17,7%,30,0.454545454,"Nilifanya utafiti na kutoa taarifa sahihi kuhusu madhara yake, jinsi ya kuzingatia kipimo, na mchakato","5'2""",55,0,Yes,More than 10,3-4hours,7 - Very healthy,0 days,2,,,,
34,33,Female,Kikuyu,Black,College graduate,"Less than 2,580,000 KES",No,2,4,3,4,3,1,3,1,1,1,0.595238096,Niko na uwezo mkubwa wa kuelewa taarifa za afya. Muuguzi hunipa maelezo pia. Zingine natafuta kwa mtandao.,1,1,2,3,2,5,2,1,5,4,4,4,4,4,4,4,3,3,3,1,4,3,1,5,2,1,4,1,1,2,2,1,1,1,2,4,5,4,4,5,4,4,2,5,4,4,3,4,3,6,6,7,4,4,2,4,4,4,4,0.8,"Mimi humwamini daktari wangu kiasi kubwa. Nikiongea na yeye, huwa ananielezea zile matibabu nitapata na dawa zitakazonisaidia.",2,2,2,2,2,2,2,2,0.285714286,Mimi huwa na wasiwasi nikifikiria zile fedha nitaitishwa ama kama ugonjwa wangu si wa kupona. Laini refu pia hunipa hofu ikiwa ni mtoto nimepeleka atibiwe.,5,4,4,4,4,2,5,2,1,4,4,4,3,4,3,2,20%,80,22.5,7%,170,0.727272727,Kuna mtu alikuwa anatokwa na damu kwa mapua na watu walikuwa wanamwambia ainue kichwa. Niliwaelezea sio sawa na kumsaidia mgonjwa,"5'4""",65,2,No,2,7-8 hours,5,0 days,2,,,,
45,28,Male,Luhya,Black,Some college,"Less than 2,580,000 KES",Yes,5,4,5,4,3,3,2,2,2,2,0.674603174,Kwa kiwango kikubwa mno kwa sababu ya teknolojia mpya. Hii unasaidia sana katika kupata na kuelewa maelezo muhimu,1,1,2,1,1,5,3,1,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,5,1,1,2,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,3,4,4,4,4,4,0.72,Kwa sababu ya kunishughulikia vyema.mara nyingi daktari hukupea moya ili umwamini kwa sababu ya uponyaji,6,2,2,6,6,6,2,6,0.761904762,Magonjwa hatari hatari ya kisasa ambayo hutupea sisi kama binadamu tumbo joto.wengi hukosa amani mioyoni,5,5,5,5,5,4,5,2,3,4,1,1,2,2,2,1,4%,100,3,10%,100,0.181818182,Shambulio la homa mbaya ya corona mwaka wa elfu mbili ishirini.watubwengivwalikosa huduma za kiafya haswa sana inchi za afrika ya kati,"4'2""",60,0,No,2,Less than 1 hour,2,1-2 days,1,,,,
27,52,Male,Luhya,Black,Some graduate school,"Less than 2,580,000 KES",No,3,2,4,3,1,2,1,2,1,2,0.253968254,Yafa niwe rafiki ya muuguzi au wauguzi kadhaa ili nikiwa na shinda yoyote naeza kuwafikia kwa urahisi ili kupata huduma ninayo hitaji,2,2,2,1,2,1,1,1,4,2,4,4,4,4,4,4,3,4,1,1,1,1,5,5,5,5,5,5,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,5,1,1,1,7,7,7,6,7,4,5,4,3,5,0.76,Lima mini daktari wangu Waka waida kwaza Babu a matibabu ambaya and anifa namatibe was a Babu nimatibabu yeah yeah,2,2,2,3,3,3,3,4,0.428571429,Wasiwasi hua wakati unaenda na daktari anakupa dawa mbayo haina usaidizi kwako kabisa na haina ewuzo wa kutibu ungonjwa wako,5,5,5,5,5,3,5,2,1,4,4,1,1,1,3,2,20%,90,45,1%,20,0.545454546,Nina ujuzi ndio lakini sikumbuki yukio lenyewe lakini neza sema nimesaidia watu kwa kiwango kikubwa sana,"5'2""",60,0,Yes,More than 10,Less than 1 hour,4,0 days,0,,,,
17,29,Female,Luo,Black,College graduate,"11,610,000 KES or more",Yes,2,5,3,4,3,3,3,2,2,2,0.658730159,Nina uwezo mkubwa wa kupata na kuchakata taarifa za msingi zinazohitajika kufanya uamuzi sahihi ya afya,1,2,2,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,1,1,1,3,5,1,2,3,3,2,2,4,3,2,2,2,2,1,2,5,5,3,4,4,4,4,4,5,5,5,3,4,6,5,5,6,4,5,3,3,3,0.64,Wakati mwingine wanakupa mafala si kulingana na ugonjwa Bali kulingana na pesa za dawa hizo kwa jumla ili wafaidike wao,1,5,6,5,4,3,5,5,0.547619048,Nina hofu kwamba naeza patikana na ugonjwa ambao ckutarajia na manaa mgonjwa kumekuwa mengi yakuambukizana,1,2,4,5,4,2,5,2,2,4,1,2,2,1,1,1,20%,50,3,7%,5,0.272727272,Niimuokoa mtoto aliyegongwa na gari kwa kumpa huruma ya kwanza na kumpeleka kwa hospital iliyokuwa karibu,"4'0""",65,1,Yes,3,1-2 hours,1 - Very unhealthy,0 days,0,,,,
32,28,Male,Kikuyu,Black,College graduate,"Less than 2,580,000 KES",No,3,5,5,4,3,2,3,1,1,2,0.73015873,"Ninahisi kuwa na uwezo wa kupata, kuchakata, na kuelewa taarifa za afya na huduma muhimu zinazohitajika kufanya maamuzi sahihi ya afya.",1,4,2,1,1,1,1,1,5,4,5,5,4,3,3,2,3,4,4,5,3,2,3,3,3,4,4,5,4,4,3,4,4,3,3,4,5,4,2,1,3,4,4,3,4,4,3,1,3,1,2,2,4,4,3,2,3,2,3,0.52,"Ninamwamini daktari wangu kwa ujuzi, huruma, mawasiliano bora, na ushirikiano wa kufanya maamuzi, kunifanya kuhisi salama.",2,7,5,4,3,4,4,5,0.523809524,"Ninahisi wasiwasi zaidi kuhusu matokeo yasiyotarajiwa ya vipimo vya afya, maumivu yanayoweza kutokea, au kutoelewa maelezo ya matibabu.",2,4,3,3,3,3,5,2,2,1,2,2,3,4,2,1,5%,80,10,7%,30,0.454545454,"Nilisaidia kuandaa na kuchambua data ya wagonjwa, kutambua mwenendo wa magonjwa, na kutoa ripoti kwa madaktari.","5'2""",53,0,No,0,1-2 hours,5,0 days,0,,,,
39,25,Male,Kamba,Multiracial or biracial,High school graduate,"Less than 2,580,000 KES",No,4,1,4,2,2,2,3,1,2,1,0.507936507,Pia nina uwezo bora wa kuyaelewa maandishi ya daktari wangu na pia ninapopata utatanishi namuuliza maswali daktari wangu,5,3,4,2,3,1,2,3,4,3,4,4,5,5,4,4,5,5,3,2,3,2,2,4,2,2,2,1,2,4,3,4,2,2,2,3,4,3,3,2,4,4,3,4,3,3,3,4,4,3,6,5,5,6,4,3,4,3,3,0.6,Namwaminia sana daktari wangu pia kwa vile unielezea Kila kitu ninapopata utatanishi kunifanya nielewe vizuri,3,2,2,3,5,5,5,6,0.642857143,Pia nina hofu wakati ninapotembelea dagitarii wangu.wasiwasi wa kutopata dawa zinazolingana na ugonjwa,5,4,4,4,4,2,5,2,3,4,4,2,3,1,2,2,20%,32,5,7%,150,0.636363636,Nilimsaidia pia dadangu mdogo kusoma na kuelewa malezo aliyokuwa ameandikiwa na daktari na pia dawa alizokuwa ameandikiwa nikamsaidia,"4'0""",59,0,No,9,3-4hours,4,3-5 days,4,,,,
22,26,Female,Kalenjin,Black,College graduate,"4,515,000 KES - 7,094,871 KES",No,2,2,2,2,2,2,2,1,2,2,0.317460317,Kiwango cha juu kwa sababu kuna wanawake waliojitokeza kando na kazi casual yao kutembea kwa manyumba zetu wakieleza kinachojiri kwenye afya na tunashukuru,2,2,2,2,2,3,3,2,2,1,2,4,4,5,5,1,1,5,5,5,5,3,3,5,3,3,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,7,6,7,7,7,4,5,5,5,5,0.88,Namwamini dagitari wangu kwa sababu anaielewa shida uliyo kwenye mwili wangu kwamaana almekua akinitibu kwa muda,7,6,6,6,5,5,5,7,0.833333333,"Nina hofu kabisa kwa sababu wa huu mwili wangu,mimi najipenda sana ila sipendi kuskiza tatizo kwenye mwili wangu,naomba mungu niwe salama kila wakati",5,5,5,5,5,3,5,1,2,4,1,1,2,1,2,1,50%,80,25,30%,80,0.09090909,"Kutokana na mtoto wangu siku moja alianza kua na joto chingi mwilini,nlianza kumpanguza na maji moto","5'6""",76,2,Yes,More than 10,1-2 hours,4,0 days,0,,,,
